"plass","korps","poeng"
1,"Eikanger-Bjørsvik Musikklag",730.85
2,"Stavanger Brass Band",687.85
3,"Manger Musikklag",684.73
4,"Bjørsvik Brass",613.78
5,"Jaren Hornmusikkforening",580.61
6,"Oslo Brass Band",570.48
7,"Tertnes Brass",551.03
8,"Kleppe Musikklag",550.23
9,"Askøy Brass Band",526.19
10,"Krohnengen Brass Band",525.35
11,"Molde Brass Band",489.28
12,"Musikkorpset Gjallarhorn",487.92
13,"Oslofjord Brass",487.01
14,"Ila Brass Band",486.71
15,"Tomra Brass Band",479.47
16,"Hasle Brass",439.18
17,"Sola Brass Band",432.42
18,"Flesland Musikklag",404.36
19,"Tertnes Amatørkorps",396.59
20,"Radøy Brass",395.76
21,"Oster Brass",394.63
22,"Sandefjord Brass Symposium",385.1
23,"Jølster Musikklag",378.21
24,"Brøttum Brass",370.57
25,"Haukås Musikklag",370.22
26,"Sagvåg Musikklag",366.22
27,"Tromsø Brass",341.23
28,"Agder Brass",338.88
29,"Ørskog Brass",326.15
30,"Trondheim Politis Brassband",315.63
31,"Sørum Musikklag",308.3
32,"Alexander Brass Band",305.29
33,"Manger Old Star Brass",303.96
34,"Tysnes Musikklag",291.28
35,"Gjøvik Bybrass",278.03
36,"Follesø Musikklag",276.97
37,"Rong Brass",275.18
38,"Laksevåg Musikkforening",268.08
39,"Bergen Brass Band",252.5
40,"Lindås Brass",246.3
41,"Gjesdal Brass Band",234.98
42,"Stangaland Brass",231.58
43,"Skui Brassband",224.7
44,"Fjell Brass",214.89
45,"Bjørvika Brass Band",190.14
46,"Tysvær Brass",174.73
47,"Fræna Brass Band",162.85
48,"Flora-Bremanger Brassband",161.38
49,"Valdres Brass",160.91
50,"Nes Musikkforening",160.87
51,"Langhus Brass",154.83
52,"Flå Musikkorps",152.35
53,"Salhus Musikklag",142.54
54,"Stavanger Kommunes Korps",141.96
55,"Lismarka Mesnali Brass",139.14
56,"Lyshornet Brass",128.08
57,"Frei Hornmusikk",125.55
58,"Indre Torungen Brass Ensemble",123.05
59,"Hordvik Musikklag",112.29
60,"Florø Hornmusikk",111.52
61,"IMI Brass",109.08
62,"Borge Brass Band",95
63,"Brumunddal Brass",94.11
64,"Grenland Brass",93.92
65,"Hetlevik Musikklag",88.82
66,"Filadelfia Hornorkester Drammen",79.37
67,"Kjølsdalen Musikklag",71.51
68,"Holmestrand Ungdomskorps",66.15
69,"Sotra Brass",62.24
70,"Moen Musikkforening",56.4
71,"Skeie Brass",50.88
72,"Randaberg Musikkorps",49.01
73,"Lillehammer Brass",46.43
74,"Saksumdal Musikkforening",40.64
75,"Nordlys XO",34.78
76,"Ålvik Musikklag",33.46
77,"Rosendal Musikklag",31.83
78,"Bertnes Brass",28.64
79,"Musikkorpset Heimdal",23.32
80,"KOS - Krohnengen Old Stars",21
81,"Fagernes Musikkorps",20.52
82,"Rudsbygd Brass",19.26
83,"Lalm Musikkforening",18.2
84,"Haus Musikklag",16.06
85,"Fjordbrass Lavik",15.9
86,"Alsvåg Brass",9.2
87,"Seim Musikklag",8.49
88,"Eikelandsfjorden Musikklag",4.85
